utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag id,apriltag longitude,apriltag latitude,apriltag world_x,apriltag world_y
1712956837836350,0.2830420434,0,-0.01302964892,0.3506937623,-0.004888364114,-0.03359287232,-1,-1,-1,-1,-1
1712956837876760,0.2844855785,0,-0.04015183449,0.3620667756,-0.005270559806,-0.03519894555,-1,-1,-1,-1,-1
1712956837917180,0.2855841517,0,-0.05354628339,0.3734830618,-0.005672567058,-0.03734079748,-1,-1,-1,-1,-1
1712956837957560,0.2847109735,0,-0.04018360004,0.3848635554,-0.006097721402,-0.03894814104,-1,-1,-1,-1,-1
1712956837998100,0.2847105265,0,-0.02669129148,0.3962433338,-0.00654116692,-0.04001579434,-1,-1,-1,-1,-1
1712956838038540,0.2874765992,0,-0.05351054668,0.407733202,-0.007001188118,-0.04215621576,-1,-1,-1,-1,-1
1712956838080020,0.2873422205,0,-0.0652031973,0.4192166924,-0.007485575043,-0.04476434365,-1,-1,-1,-1,-1
1712956838120420,0.2877043188,0,-0.02677634358,0.4307133257,-0.008000559174,-0.04583539814,-1,-1,-1,-1,-1
1712956838158200,0.3043573499,0,-0.04295648262,0.442874819,-0.008558377624,-0.04755365849,-1,-1,-1,-1,-1
1712956838198740,0.2898702323,0,-0.06671990454,0.4544565082,-0.009109545499,-0.05022245646,-1,-1,-1,-1,-1
1712956838239180,0.2791439593,0,0.8026575446,0.4656081796,-0.009670081548,-0.01811615378,-1,-1,-1,-1,-1
1712956838279610,0.2823664546,0,1.378372669,0.4769009948,-0.009874685667,0.03701875359,-1,-1,-1,-1,-1
1712956838320030,0.288646698,0,1.672948122,0.4884389639,-0.009447369725,0.1039366797,-1,-1,-1,-1,-1
1712956838360500,0.2893093824,0,1.764319658,0.499948889,-0.008246740326,0.1745094657,-1,-1,-1,-1,-1
1712956838401710,0.2871737182,0,1.771975636,0.511261344,-0.006252317689,0.2453884929,-1,-1,-1,-1,-1
1712956838442160,0.2780405283,0,1.885825753,0.5220497847,-0.003550506895,0.3208215237,-1,-1,-1,-1,-1
1712956838482590,0.2865059078,0,1.859950066,0.5329253078,6.34E-05,0.3952195346,-1,-1,-1,-1,-1
1712956838523010,0.2844574153,0,1.86018002,0.5434264541,0.004444202408,0.4696267247,-1,-1,-1,-1,-1
1712956838563420,0.2876829207,0,1.874211788,0.5536879301,0.009651877917,0.5445951819,-1,-1,-1,-1,-1
